code	name	type	scope	status
aoe	Angal Enen	living	individual	pending
aof	Bragat	living	individual	pending
aog	Angoram	living	individual	pending
aoi	Anindilyakwa	living	individual	pending
aoj	Mufian	living	individual	pending
aok	Arhö	living	individual	pending
aol	Alor	living	individual	pending
aom	Ömie	living	individual	pending
aon	Bumbita Arapesh	living	individual	pending
aor	Aore	extinct	individual	pending
aos	Taikat	living	individual	pending
aot	Atong (India)	living	individual	pending
aou	A'ou	living	individual	pending
aox	Atorada	living	individual	pending
aoz	Uab Meto	living	individual	pending
apb	Sa'a	living	individual	pending
apc	North Levantine Arabic	living	individual	pending
apd	Sudanese Arabic	living	individual	pending
ape	Bukiyip	living	individual	pending
apf	Pahanan Agta	living	individual	pending
apg	Ampanang	living	individual	pending
aph	Athpariya	living	individual	pending
api	Apiaká	living	individual	pending
apj	Jicarilla Apache	living	individual	pending
apk	Kiowa Apache	living	individual	pending
apl	Lipan Apache	living	individual	pending
apm	Mescalero-Chiricahua Apache	living	individual	pending
apn	Apinayé	living	individual	pending
apo	Ambul	living	individual	pending
app	Apma	living	individual	pending
apq	A-Pucikwar	living	individual	pending
apr	Arop-Lokep	living	individual	pending
aps	Arop-Sissano	living	individual	pending
apt	Apatani	living	individual	pending
apu	Apurinã	living	individual	pending
apv	Alapmunte	extinct	individual	pending
apw	Western Apache	living	individual	pending
apx	Aputai	living	individual	pending
apy	Apalaí	living	individual	pending
apz	Safeyoka	living	individual	pending
aqc	Archi	living	individual	pending
aqd	Ampari Dogon	living	individual	pending
aqg	Arigidi	living	individual	pending
aqm	Atohwaim	living	individual	pending
aqn	Northern Alta	living	individual	pending
aqp	Atakapa	extinct	individual	pending
aqr	Arhâ	living	individual	pending
aqt	Angaité	living	individual	pending
aqz	Akuntsu	living	individual	pending
ara	Arabic	living	macrolanguage	seeded
arb	Standard Arabic	living	individual	pending
arc	Official Aramaic (700-300 BCE)	ancient	individual	pending
ard	Arabana	extinct	individual	pending
are	Western Arrarnta	living	individual	pending
arg	Aragonese	living	individual	pending
arh	Arhuaco	living	individual	pending
ari	Arikara	living	individual	pending
arj	Arapaso	extinct	individual	pending
ark	Arikapú	living	individual	pending
arl	Arabela	living	individual	pending
arn	Mapudungun	living	individual	pending
aro	Araona	living	individual	pending
arp	Arapaho	living	individual	pending
arq	Algerian Arabic	living	individual	pending
arr	Karo (Brazil)	living	individual	pending
ars	Najdi Arabic	living	individual	pending
aru	Aruá (Amazonas State)	extinct	individual	pending
arv	Arbore	living	individual	pending
arw	Arawak	living	individual	pending
arx	Aruá (Rodonia State)	living	individual	pending
ary	Moroccan Arabic	living	individual	pending
arz	Egyptian Arabic	living	individual	pending
asa	Asu (Tanzania)	living	individual	pending
asb	Assiniboine	living	individual	pending
asc	Casuarina Coast Asmat	living	individual	pending
ase	American Sign Language	living	individual	pending
asf	Auslan	living	individual	pending
asg	Cishingini	living	individual	pending
ash	Abishira	extinct	individual	pending
asi	Buruwai	living	individual	pending
asj	Sari	living	individual	pending
ask	Ashkun	living	individual	pending
asl	Asilulu	living	individual	pending
asm	Assamese	living	individual	seeded
asn	Xingú Asuriní	living	individual	pending
aso	Dano	living	individual	pending
asp	Algerian Sign Language	living	individual	pending
asq	Austrian Sign Language	living	individual	pending
asr	Asuri	living	individual	pending
ass	Ipulo	living	individual	pending
ast	Asturian	living	individual	pending
asu	Tocantins Asurini	living	individual	pending
asv	Asoa	living	individual	pending
asw	Australian Aborigines Sign Language	living	individual	pending
asx	Muratayak	living	individual	pending
asy	Yaosakor Asmat	living	individual	pending
asz	As	living	individual	pending
ata	Pele-Ata	living	individual	pending
atb	Zaiwa	living	individual	pending
atc	Atsahuaca	extinct	individual	pending
atd	Ata Manobo	living	individual	pending
ate	Atemble	living	individual	pending
atg	Ivbie North-Okpela-Arhe	living	individual	pending
ati	Attié	living	individual	pending
atj	Atikamekw	living	individual	pending
atk	Ati	living	individual	pending
atl	Mt. Iraya Agta	living	individual	pending
atm	Ata	living	individual	pending
atn	Ashtiani	living	individual	pending
ato	Atong (Cameroon)	living	individual	pending
atp	Pudtol Atta	living	individual	pending
atq	Aralle-Tabulahan	living	individual	pending
atr	Waimiri-Atroari	living	individual	pending
ats	Gros Ventre	living	individual	pending
att	Pamplona Atta	living	individual	pending
atu	Reel	living	individual	pending
atv	Northern Altai	living	individual	pending
atw	Atsugewi	living	individual	pending
atx	Arutani	living	individual	pending
aty	Aneityum	living	individual	pending
atz	Arta	living	individual	pending
aua	Asumboa	living	individual	pending
aub	Alugu	living	individual	pending
auc	Waorani	living	individual	pending
aud	Anuta	living	individual	pending
aug	Aguna	living	individual	pending
auh	Aushi	living	individual	pending
aui	Anuki	living	individual	pending
auj	Awjilah	living	individual	pending
auk	Heyo	living	individual	pending
aul	Aulua	living	individual	pending
aum	Asu (Nigeria)	living	individual	pending
aun	Molmo One	living	individual	pending
auo	Auyokawa	extinct	individual	pending
aup	Makayam	living	individual	pending
auq	Anus	living	individual	pending
aur	Aruek	living	individual	pending
aut	Austral	living	individual	pending
auu	Auye	living	individual	pending
auw	Awyi	living	individual	pending
aux	Aurá	extinct	individual	pending
auy	Awiyaana	living	individual	pending
auz	Uzbeki Arabic	living	individual	pending
ava	Avaric	living	individual	pending
avb	Avau	living	individual	pending
avd	Alviri-Vidari	living	individual	pending
ave	Avestan	ancient	individual	pending
avi	Avikam	living	individual	pending
avk	Kotava	constructed	individual	pending
avl	Eastern Egyptian Bedawi Arabic	living	individual	pending
avm	Angkamuthi	extinct	individual	pending
avn	Avatime	living	individual	pending
avo	Agavotaguerra	extinct	individual	pending
avs	Aushiri	extinct	individual	pending
avt	Au	living	individual	pending
avu	Avokaya	living	individual	pending
avv	Avá-Canoeiro	living	individual	pending
awa	Awadhi	living	individual	seeded
awb	Awa (Papua New Guinea)	living	individual	pending
awc	Cicipu	living	individual	pending
awe	Awetí	living	individual	pending
awg	Anguthimri	extinct	individual	pending
